14.29 1:0 2:21939200 
14.36 1:1 2:27497600 
14.60 1:4 2:22542900 
14.55 1:5 2:29711500 
14.46 1:6 2:27360600 
14.24 1:7 2:24188900 
14.02 1:8 2:25628900 
13.74 1:11 2:22137700 
13.84 1:12 2:26961700 
13.54 1:13 2:23328300 
13.18 1:14 2:18209000 
13.08 1:15 2:16588500 
13.36 1:18 2:7301000 
13.30 1:20 2:22007200 
13.15 1:21 2:30905000 
13.11 1:22 2:25605300 
13.26 1:25 2:41142400 
13.17 1:26 2:59508300 
12.89 1:27 2:52425700 
13.53 1:28 2:38734400 
13.27 1:29 2:49676000 
12.45 1:32 2:30371300 
12.18 1:33 2:39209900 
11.54 1:34 2:26809800 
10.89 1:35 2:17481300 
10.96 1:36 2:20491900 
10.52 1:39 2:17525500 
10.46 1:40 2:21137500 
10.51 1:41 2:26381900 
10.84 1:42 2:23181100 
10.71 1:43 2:14577300 
10.65 1:46 2:17271900 
10.84 1:47 2:17057900 
10.75 1:48 2:16865600 
10.62 1:49 2:12755900 
10.61 1:50 2:12002900 
10.64 1:53 2:13930500 
10.61 1:54 2:25311300 
10.54 1:55 2:32929700 
10.25 1:56 2:35550900 
10.01 1:57 2:18969300 
10.05 1:60 2:15093800 
9.95 1:61 2:17088800 
