Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,21.10,21.370001,21.040001,21.34,7894100,21.34
2016-12-12,20.85,21.280001,20.809999,21.09,7306200,21.09
2016-12-09,20.690001,20.959999,20.690001,20.809999,6246700,20.809999
2016-12-08,20.60,20.77,20.370001,20.610001,8716300,20.610001
2016-12-07,20.700001,20.780001,20.360001,20.610001,11412500,20.610001
2016-12-06,20.719999,20.860001,20.610001,20.809999,7724300,20.809999
2016-12-05,20.459999,20.76,20.360001,20.709999,12285900,20.709999
2016-12-02,20.129999,20.549999,20.030001,20.35,10982000,20.35
2016-12-01,20.459999,20.530001,19.67,20.09,15733800,20.09
2016-11-30,20.799999,20.799999,20.379999,20.459999,11819100,20.459999
2016-11-29,20.74,20.98,20.709999,20.77,6918200,20.77
2016-11-28,21.040001,21.15,20.700001,20.75,8099200,20.75
2016-11-25,21.049999,21.299999,21.049999,21.15,3155100,21.15
2016-11-23,20.700001,21.00,20.700001,20.98,7280000,20.98
2016-11-22,20.879999,21.00,20.42,20.84,16229600,20.84
2016-11-21,21.389999,21.67,21.35,21.459999,7199100,21.459999
2016-11-18,21.59,21.68,21.290001,21.34,5950100,21.34
2016-11-17,21.459999,21.719999,21.41,21.610001,6188900,21.610001
2016-11-16,21.15,21.459999,21.139999,21.360001,6332800,21.360001
2016-11-15,20.790001,21.200001,20.620001,21.139999,9575900,21.139999
2016-11-14,21.469999,21.549999,20.65,20.790001,14733900,20.790001
2016-11-11,21.719999,21.85,21.450001,21.50,6698200,21.50
2016-11-10,22.059999,22.34,21.780001,21.879999,11747000,21.879999
2016-11-09,21.98,22.24,21.200001,21.84,17126800,21.84
2016-11-08,21.959999,22.33,21.780001,22.25,8933200,22.25
2016-11-07,21.85,22.049999,21.790001,22.040001,8110000,22.040001
2016-11-04,21.49,21.879999,21.209999,21.559999,8685200,21.559999
2016-11-03,21.559999,21.870001,21.49,21.540001,8040000,21.540001
2016-11-02,21.709999,21.799999,21.58,21.60,7536600,21.60
2016-11-01,22.00,22.040001,21.549999,21.709999,8187100,21.709999
2016-10-31,21.93,22.190001,21.799999,22.00,10905000,22.00
2016-10-28,21.459999,22.43,21.40,22.09,17382600,22.09
2016-10-27,22.17,22.190001,21.43,21.49,16058800,21.49
2016-10-26,22.450001,22.540001,21.82,22.09,18703200,22.09
2016-10-25,22.969999,22.969999,22.370001,22.440001,12365400,22.440001
2016-10-24,22.959999,23.040001,22.860001,22.969999,6670700,22.969999
2016-10-21,22.84,22.91,22.620001,22.82,7203600,22.82
2016-10-20,22.860001,23.030001,22.68,23.01,8656000,23.01
2016-10-19,23.24,23.27,22.870001,22.870001,6632100,22.870001
2016-10-18,23.01,23.18,22.83,23.120001,4979600,23.120001
2016-10-17,22.91,22.950001,22.76,22.82,5110800,22.82
2016-10-14,23.24,23.299999,22.93,22.950001,6897500,22.950001
2016-10-13,23.049999,23.25,22.879999,23.15,10033400,23.15
