Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,79.25,79.599998,78.040001,78.360001,568700,78.360001
2016-12-12,77.699997,78.849998,77.699997,78.839996,607700,78.839996
2016-12-09,78.25,78.480003,77.510002,78.209999,522200,78.209999
2016-12-08,78.07,78.57,77.620003,78.25,476400,78.25
2016-12-07,77.199997,78.059998,76.949997,78.019997,698200,78.019997
2016-12-06,76.849998,77.129997,75.839996,77.110001,666900,77.110001
2016-12-05,77.25,77.300003,76.470001,76.830002,568700,76.830002
2016-12-02,77.120003,77.190002,76.690002,76.879997,491600,76.879997
2016-12-01,76.93,77.339996,76.650002,77.120003,630100,77.120003
2016-11-30,77.269997,77.43,76.459999,76.739998,2026600,76.739998
2016-11-29,76.830002,77.440002,76.400002,77.110001,858700,77.110001
2016-11-28,76.68,76.919998,76.269997,76.589996,872100,76.589996
2016-11-25,76.080002,76.830002,75.989998,76.68,392100,76.68
2016-11-23,75.279999,75.93,75.07,75.900002,623300,75.900002
2016-11-22,75.540001,75.559998,74.989998,75.279999,798800,75.279999
2016-11-21,74.860001,75.120003,74.449997,75.099998,780700,75.099998
2016-11-18,73.980003,74.730003,73.610001,74.470001,790400,74.470001
2016-11-17,72.32,74.059998,72.199997,74.019997,729700,74.019997
2016-11-16,72.519997,72.519997,71.589996,72.160004,393800,72.160004
2016-11-15,72.050003,72.800003,71.980003,72.599998,646300,72.599998
2016-11-14,71.720001,72.410004,71.360001,72.389999,670400,72.389999
2016-11-11,71.32,71.830002,71.260002,71.519997,408300,71.519997
2016-11-10,70.720001,71.940002,70.459999,71.68,685700,71.68
2016-11-09,69.610001,70.550003,68.18,70.110001,946300,70.110001
2016-11-08,68.980003,69.639999,68.489998,69.57,631800,69.57
2016-11-07,69.360001,69.610001,68.68,69.050003,664400,69.050003
2016-11-04,69.18,69.18,68.110001,68.260002,609800,68.260002
2016-11-03,69.010002,69.669998,68.690002,69.010002,393700,69.010002
2016-11-02,69.620003,69.75,68.599998,68.599998,537400,68.599998
2016-11-01,70.629997,70.870003,69.379997,69.529999,769500,69.529999
2016-10-31,70.470001,71.07,70.199997,70.779999,854900,70.779999
2016-10-28,70.099998,70.709999,69.620003,70.18,626600,70.18
2016-10-27,70.949997,72.269997,69.400002,69.739998,856400,69.739998
2016-10-26,72.629997,72.629997,70.540001,70.900002,744800,70.900002
2016-10-25,72.019997,72.110001,71.239998,71.769997,737400,71.769997
2016-10-24,71.959999,72.43,71.599998,71.940002,445300,71.940002
2016-10-21,72.519997,72.699997,71.540001,71.550003,933200,71.550003
2016-10-20,74.889999,75.129997,72.879997,72.93,691600,72.93
2016-10-19,75.169998,75.43,75.019997,75.199997,361000,75.199997
2016-10-18,76.199997,76.199997,75.120003,75.239998,417000,75.239998
2016-10-17,75.809998,75.949997,75.360001,75.57,280000,75.57
2016-10-14,75.889999,76.589996,75.779999,75.949997,408900,75.949997
2016-10-13,74.790001,75.690002,74.559998,75.379997,399000,75.379997
