Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,38.16,38.369999,37.889999,38.09,2389300,38.09
2016-12-12,38.389999,38.529999,37.939999,38.080002,2137100,38.080002
2016-12-09,38.639999,38.860001,38.299999,38.580002,1711300,38.580002
2016-12-08,38.189999,38.82,38.00,38.639999,2715700,38.639999
2016-12-07,37.549999,38.27,37.50,38.220001,2160200,38.220001
2016-12-06,37.57,37.970001,37.450001,37.860001,2888300,37.522
2016-12-05,36.310001,37.529999,36.310001,37.48,4195600,37.145391
2016-12-02,36.209999,36.759998,36.049999,36.23,2638000,35.906551
2016-12-01,36.389999,36.849998,36.150002,36.279999,2721000,35.956104
2016-11-30,37.34,37.490002,36.290001,36.389999,3730400,36.065122
2016-11-29,37.689999,38.049999,37.349998,37.400002,3709700,37.066108
2016-11-28,38.299999,38.32,37.560001,37.830002,2206500,37.492269
2016-11-25,38.549999,38.740002,38.189999,38.349998,1235500,38.007623
2016-11-23,38.450001,38.77,38.259998,38.380001,1930600,38.037358
2016-11-22,38.299999,38.740002,38.16,38.48,2662900,38.136464
2016-11-21,38.00,38.419998,37.939999,38.150002,2614800,37.809412
2016-11-18,37.860001,38.200001,37.619999,38.00,3620300,37.66075
2016-11-17,37.759998,38.00,37.50,37.970001,1691600,37.631019
2016-11-16,37.259998,37.799999,37.240002,37.619999,1846500,37.284141
2016-11-15,37.959999,38.369999,37.299999,37.439999,3048000,37.105748
2016-11-14,37.32,38.50,37.290001,37.98,5247200,37.640928
2016-11-11,36.439999,37.029999,36.330002,36.990002,3083000,36.659768
2016-11-10,36.450001,37.299999,36.450001,36.720001,5797300,36.392178
2016-11-09,35.389999,36.52,34.669998,36.360001,4709700,36.035391
2016-11-08,36.220001,36.439999,35.82,36.040001,3216000,35.718249
2016-11-07,35.950001,36.34,35.93,36.27,3055500,35.946195
2016-11-04,35.34,35.900002,35.25,35.34,3211200,35.024497
2016-11-03,35.549999,35.669998,35.060001,35.299999,3591400,34.984853
2016-11-02,36.330002,37.040001,35.419998,35.470001,5473300,35.153338
2016-11-01,36.990002,37.939999,36.259998,36.68,8531300,36.352534
2016-10-31,35.700001,36.16,35.580002,35.889999,6067600,35.569586
2016-10-28,35.439999,35.889999,35.049999,35.720001,5359700,35.401106
2016-10-27,35.810001,36.009998,35.299999,35.52,4901600,35.202891
2016-10-26,35.549999,36.00,35.470001,35.720001,2874600,35.401106
2016-10-25,35.50,35.84,35.330002,35.650002,3465300,35.331731
2016-10-24,35.700001,36.169998,35.639999,36.00,3877100,35.678605
2016-10-21,36.110001,36.389999,35.529999,35.549999,4284400,35.232622
2016-10-20,35.84,35.98,35.529999,35.91,2196100,35.589408
2016-10-19,35.27,35.84,35.040001,35.830002,2737200,35.510124
2016-10-18,35.18,35.389999,34.990002,35.220001,2904800,34.90557
2016-10-17,35.849998,36.02,34.07,34.880001,6466900,34.568605
2016-10-14,36.52,36.599998,35.849998,35.860001,1950300,35.539855
2016-10-13,35.799999,36.470001,35.380001,36.290001,4580700,35.966017
