Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,28.610001,29.00,28.610001,28.77,1838900,28.77
2016-12-12,28.83,28.879999,27.969999,28.58,4353900,28.58
2016-12-09,29.549999,29.629999,28.610001,29.10,4908500,29.10
2016-12-08,28.74,29.719999,28.73,29.549999,2826500,29.549999
2016-12-07,27.83,28.860001,27.74,28.799999,2612200,28.799999
2016-12-06,27.42,27.799999,27.219999,27.790001,2162300,27.790001
2016-12-05,26.76,27.59,26.719999,27.389999,3064800,27.389999
2016-12-02,27.01,27.52,26.52,26.60,2425000,26.60
2016-12-01,27.219999,27.51,27.08,27.15,2909700,27.15
2016-11-30,27.719999,28.00,27.09,27.09,2763600,27.09
2016-11-29,27.25,27.66,27.16,27.65,2647900,27.65
2016-11-28,27.49,27.50,26.77,27.219999,2326500,27.219999
2016-11-25,27.33,27.620001,27.10,27.540001,647400,27.540001
2016-11-23,27.440001,27.530001,27.17,27.35,1897300,27.35
2016-11-22,27.530001,27.969999,27.290001,27.459999,3218900,27.459999
2016-11-21,27.50,27.959999,27.49,27.549999,2003400,27.549999
2016-11-18,27.91,28.129999,27.469999,27.50,2587900,27.50
2016-11-17,27.50,28.17,27.450001,28.030001,3577800,28.030001
2016-11-16,27.76,28.23,27.59,27.629999,2678600,27.629999
2016-11-15,28.35,28.35,27.299999,27.799999,5461500,27.799999
2016-11-14,26.50,28.459999,26.49,28.35,7002100,28.35
2016-11-11,25.610001,26.51,25.51,26.440001,3238700,26.440001
2016-11-10,25.950001,26.469999,25.709999,26.030001,4515300,26.030001
2016-11-09,25.00,26.110001,24.950001,25.90,3128200,25.90
2016-11-08,25.50,25.950001,25.33,25.85,3443600,25.85
2016-11-07,26.190001,26.190001,25.530001,25.549999,3777900,25.549999
2016-11-04,25.73,26.540001,25.620001,25.639999,5613000,25.639999
2016-11-03,25.33,26.02,25.33,25.780001,5001600,25.780001
2016-11-02,25.690001,25.700001,24.99,25.200001,3609400,25.200001
2016-11-01,25.84,26.049999,24.75,25.790001,6898200,25.790001
2016-10-31,26.02,26.389999,25.77,26.110001,5694200,26.110001
2016-10-28,26.190001,26.34,25.77,25.85,2344700,25.85
2016-10-27,26.50,26.58,26.030001,26.16,2609000,26.16
2016-10-26,26.16,26.48,26.02,26.440001,1829900,26.440001
2016-10-25,26.65,26.74,26.15,26.18,2230200,26.18
2016-10-24,26.77,26.969999,26.43,26.620001,4068300,26.620001
2016-10-21,25.559999,27.57,25.50,26.639999,10706200,26.639999
2016-10-20,25.559999,25.790001,25.370001,25.709999,2949900,25.709999
2016-10-19,25.27,25.620001,25.24,25.610001,2193600,25.610001
2016-10-18,25.60,25.690001,25.18,25.209999,1501200,25.209999
2016-10-17,25.290001,25.50,25.200001,25.290001,2260300,25.290001
2016-10-14,25.76,25.940001,25.16,25.34,3253500,25.34
2016-10-13,25.889999,25.950001,25.360001,25.68,2746700,25.68
