Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,198.660004,201.570007,197.50,201.020004,2167300,201.020004
2016-12-12,195.869995,198.240005,195.699997,197.639999,1442700,197.639999
2016-12-09,196.289993,196.990005,195.130005,196.600006,1957400,196.600006
2016-12-08,196.75,197.300003,193.600006,197.070007,2951600,197.070007
2016-12-07,193.320007,196.720001,192.279999,196.520004,1886100,196.12
2016-12-06,194.360001,194.460007,191.600006,193.330002,1238300,192.93649
2016-12-05,193.699997,194.949997,193.00,194.50,1409800,194.104107
2016-12-02,192.100006,193.649994,192.100006,192.800003,1542900,192.40757
2016-12-01,192.00,193.880005,192.00,192.190002,1767600,191.798811
2016-11-30,191.50,192.580002,190.779999,191.669998,1533600,191.279866
2016-11-29,190.00,191.350006,190.00,190.320007,1077700,189.932623
2016-11-28,190.580002,191.149994,189.490005,190.029999,1746600,189.643204
2016-11-25,190.619995,191.839996,190.600006,191.529999,653200,191.140151
2016-11-23,188.75,190.289993,188.050003,190.119995,880800,189.733017
2016-11-22,188.50,188.50,187.550003,188.080002,1162000,187.697176
2016-11-21,187.330002,188.25,186.740005,188.149994,1295300,187.767026
2016-11-18,184.710007,187.330002,183.979996,187.289993,1334400,186.908776
2016-11-17,184.130005,185.339996,183.460007,185.080002,931800,184.703283
2016-11-16,184.889999,186.00,182.75,183.820007,1262200,183.445853
2016-11-15,185.770004,185.830002,182.979996,185.389999,1447000,185.012649
2016-11-14,184.50,186.529999,183.460007,186.160004,2168100,185.781086
2016-11-11,183.00,184.889999,182.110001,183.690002,1560400,183.316113
2016-11-10,182.00,185.00,181.229996,183.570007,2298000,183.196362
2016-11-09,178.550003,182.399994,176.440002,181.169998,2874200,180.801238
2016-11-08,179.279999,182.779999,178.839996,181.309998,2012400,180.940952
2016-11-07,176.850006,180.690002,176.850006,180.020004,2451900,179.653585
2016-11-04,173.399994,175.729996,172.860001,174.800003,1558800,174.444208
2016-11-03,172.710007,173.710007,172.110001,173.649994,1265000,173.29654
2016-11-02,172.00,173.470001,171.600006,172.380005,1457300,172.029136
2016-11-01,174.25,174.330002,170.160004,171.529999,1955600,171.18086
2016-10-31,175.139999,176.119995,174.240005,174.320007,992900,173.96519
2016-10-28,174.570007,176.350006,173.399994,174.25,1502700,173.895325
2016-10-27,174.690002,175.220001,172.740005,174.399994,1499700,174.045013
2016-10-26,170.960007,174.240005,170.509995,173.589996,1772700,173.236664
2016-10-25,171.339996,172.449997,171.259995,171.929993,1132700,171.58004
2016-10-24,171.309998,172.490005,170.300003,172.080002,1848300,171.729743
2016-10-21,168.190002,170.25,168.00,170.199997,924700,169.853565
2016-10-20,170.410004,170.619995,169.479996,169.699997,836000,169.354583
2016-10-19,171.020004,171.179993,169.580002,170.460007,1086800,170.113046
2016-10-18,172.089996,172.490005,170.509995,170.740005,900300,170.392475
2016-10-17,170.940002,171.369995,170.220001,170.839996,1051500,170.492262
2016-10-14,172.289993,172.889999,170.869995,170.979996,803600,170.631976
2016-10-13,172.119995,172.199997,169.660004,170.949997,1432800,170.602039
