Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,3.39,3.53,3.35,3.45,21889400,3.45
2016-12-12,3.68,3.70,3.47,3.49,28424200,3.385
2016-12-09,3.69,3.72,3.63,3.67,20546900,3.559585
2016-12-08,3.65,3.73,3.63,3.70,18816200,3.588682
2016-12-07,3.53,3.69,3.53,3.60,22919100,3.49169
2016-12-06,3.46,3.53,3.41,3.53,17303500,3.423796
2016-12-05,3.51,3.60,3.35,3.42,30097600,3.317106
2016-12-02,3.53,3.55,3.46,3.48,14274000,3.375301
2016-12-01,3.63,3.68,3.48,3.51,21100400,3.404398
2016-11-30,3.67,3.73,3.64,3.65,18109000,3.540186
2016-11-29,3.74,3.76,3.66,3.67,12998900,3.559585
2016-11-28,3.67,3.78,3.67,3.74,16108400,3.627478
2016-11-25,3.63,3.70,3.62,3.69,5704100,3.578983
2016-11-23,3.55,3.62,3.55,3.62,10192600,3.511089
2016-11-22,3.54,3.60,3.52,3.59,15493900,3.481991
2016-11-21,3.47,3.52,3.45,3.51,16942100,3.404398
2016-11-18,3.39,3.44,3.35,3.42,12626800,3.317106
2016-11-17,3.46,3.48,3.36,3.36,16910400,3.258911
2016-11-16,3.30,3.47,3.28,3.43,24529600,3.326805
2016-11-15,3.24,3.30,3.22,3.30,13537500,3.200716
2016-11-14,3.15,3.24,3.14,3.24,15433900,3.142521
2016-11-11,3.15,3.23,3.11,3.18,18806400,3.084327
2016-11-10,3.23,3.26,3.15,3.16,21524600,3.064928
2016-11-09,3.19,3.22,3.13,3.21,22316500,3.113424
2016-11-08,3.25,3.31,3.21,3.24,27615500,3.142521
2016-11-07,3.20,3.29,3.16,3.21,30989400,3.113424
2016-11-04,3.17,3.24,3.10,3.12,43146000,3.026132
2016-11-03,3.42,3.43,3.12,3.13,54916600,3.035831
2016-11-02,3.80,3.80,3.38,3.39,85892100,3.288009
2016-11-01,4.04,4.07,3.90,3.93,19346400,3.811762
2016-10-31,4.05,4.09,4.00,4.02,23321700,3.899054
2016-10-28,4.16,4.24,4.03,4.03,20753500,3.908754
2016-10-27,4.10,4.26,4.02,4.17,24739300,4.044542
2016-10-26,4.11,4.13,4.05,4.09,7883700,3.966948
2016-10-25,4.10,4.14,4.07,4.11,8635300,3.986347
2016-10-24,4.09,4.12,4.05,4.10,5841100,3.976647
2016-10-21,4.06,4.13,4.06,4.07,11225900,3.94755
2016-10-20,4.10,4.12,4.04,4.09,10307200,3.966948
2016-10-19,4.12,4.13,4.04,4.09,14172600,3.966948
2016-10-18,3.95,4.09,3.93,4.08,20453700,3.957249
2016-10-17,3.96,3.99,3.88,3.90,11834900,3.782665
2016-10-14,4.01,4.04,3.93,3.94,11454800,3.821461
2016-10-13,4.00,4.03,3.94,4.00,14406500,3.879656
