Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,109.790001,110.129997,109.75,110.00,1204300,110.00
2016-12-12,109.769997,109.82,109.599998,109.699997,1333300,109.699997
2016-12-09,109.959999,110.00,109.650002,109.739998,1051500,109.739998
2016-12-08,109.900002,110.059998,109.75,110.00,1509400,110.00
2016-12-07,109.709999,109.949997,109.57,109.949997,1513500,109.949997
2016-12-06,109.650002,109.900002,109.519997,109.709999,1049200,109.709999
2016-12-05,109.480003,109.830002,109.449997,109.660004,1067500,109.660004
2016-12-02,109.550003,109.57,109.379997,109.470001,1158100,109.470001
2016-12-01,109.379997,109.620003,109.32,109.440002,1464900,109.440002
2016-11-30,109.550003,109.650002,109.349998,109.370003,1640000,109.370003
2016-11-29,109.50,109.559998,109.260002,109.449997,2400300,109.449997
2016-11-28,109.660004,109.940002,109.400002,109.519997,1692900,109.519997
2016-11-25,109.410004,109.870003,109.32,109.739998,400600,109.739998
2016-11-23,109.470001,109.720001,109.349998,109.50,1487500,109.50
2016-11-22,109.459999,109.779999,109.339996,109.470001,1390700,109.470001
2016-11-21,109.349998,109.690002,109.279999,109.370003,1391800,109.370003
2016-11-18,109.190002,109.900002,109.089996,109.349998,2573100,109.349998
2016-11-17,109.199997,109.43,109.040001,109.300003,2816200,109.300003
2016-11-16,109.400002,109.919998,109.099998,109.199997,3990700,109.199997
2016-11-15,109.010002,109.870003,109.010002,109.489998,5719800,109.489998
2016-11-14,110.43,110.849998,109.419998,109.720001,13191400,109.720001
2016-11-11,86.849998,87.970001,86.529999,87.650002,1177000,87.650002
2016-11-10,86.239998,88.169998,85.769997,87.230003,1151000,87.230003
2016-11-09,83.93,86.00,83.50,85.120003,1013000,85.120003
2016-11-08,83.910004,86.769997,83.029999,85.629997,796300,85.279999
2016-11-07,84.00,85.419998,83.760002,84.449997,994100,84.104822
2016-11-04,80.860001,84.18,80.769997,82.330002,1039700,81.993492
2016-11-03,81.760002,82.959999,79.400002,80.760002,1537500,80.429909
2016-11-02,78.480003,79.449997,77.410004,77.910004,803100,77.59156
2016-11-01,79.980003,80.50,77.550003,78.889999,791000,78.56755
2016-10-31,78.870003,80.00,78.639999,79.709999,694400,79.384198
2016-10-28,77.599998,79.480003,77.470001,78.529999,676300,78.209021
2016-10-27,79.919998,79.919998,77.50,77.580002,895300,77.262907
2016-10-26,78.00,79.720001,78.00,78.82,507800,78.497836
2016-10-25,79.650002,79.699997,77.620003,78.169998,694000,77.850492
2016-10-24,80.75,81.129997,80.029999,80.360001,328600,80.031543
2016-10-21,79.080002,80.110001,79.019997,80.010002,566200,79.682975
2016-10-20,79.82,80.730003,79.75,80.080002,546500,79.752689
2016-10-19,80.00,80.709999,79.379997,80.190002,514000,79.86224
2016-10-18,80.919998,80.919998,79.690002,79.790001,409000,79.463873
2016-10-17,80.480003,81.120003,79.75,79.879997,453200,79.553501
2016-10-14,80.260002,81.25,80.139999,80.239998,576600,79.912031
2016-10-13,80.389999,80.389999,78.620003,79.370003,716300,79.045591
