Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,13.40,13.44,13.14,13.25,13825900,13.25
2016-12-12,13.47,13.62,13.25,13.30,15899900,13.30
2016-12-09,13.46,13.53,13.27,13.51,17117500,13.51
2016-12-08,13.38,13.64,13.26,13.46,23822200,13.46
2016-12-07,13.17,13.25,13.10,13.21,18648200,13.21
2016-12-06,13.08,13.26,12.89,13.22,15754000,13.22
2016-12-05,13.04,13.17,12.95,13.03,14624500,13.03
2016-12-02,13.01,13.11,12.80,12.94,24039600,12.94
2016-12-01,12.60,13.14,12.55,13.03,24426800,13.03
2016-11-30,12.49,12.60,12.43,12.46,17081600,12.46
2016-11-29,12.23,12.38,12.19,12.28,12097300,12.28
2016-11-28,12.44,12.58,12.21,12.26,11345200,12.26
2016-11-25,12.67,12.68,12.53,12.56,4265700,12.56
2016-11-23,12.57,12.68,12.49,12.61,9111200,12.61
2016-11-22,12.59,12.59,12.40,12.52,14284400,12.52
2016-11-21,12.59,12.60,12.42,12.44,14964500,12.44
2016-11-18,12.30,12.54,12.27,12.50,19490000,12.50
2016-11-17,11.98,12.27,11.90,12.23,17185600,12.23
2016-11-16,11.83,11.98,11.77,11.93,16436400,11.93
2016-11-15,11.93,11.96,11.64,11.96,24676900,11.96
2016-11-14,11.84,12.20,11.81,11.96,24601200,11.96
2016-11-11,11.58,11.75,11.50,11.70,16750200,11.70
2016-11-10,11.03,11.66,11.02,11.60,25992800,11.60
2016-11-09,10.45,10.97,10.36,10.91,26291400,10.91
2016-11-08,10.54,10.54,10.13,10.25,16026500,10.25
2016-11-07,10.39,10.55,10.39,10.45,11822500,10.45
2016-11-04,10.26,10.35,10.07,10.16,12216900,10.16
2016-11-03,10.33,10.39,10.19,10.25,17179400,10.25
2016-11-02,10.53,10.55,10.24,10.33,18456700,10.33
2016-11-01,10.65,10.71,10.44,10.56,16268800,10.56
2016-10-31,10.51,10.65,10.51,10.60,14652300,10.60
2016-10-28,10.76,10.78,10.47,10.56,11847500,10.56
2016-10-27,10.78,10.86,10.66,10.75,16197300,10.75
2016-10-26,10.24,10.78,10.23,10.70,28691000,10.70
2016-10-25,10.10,10.24,10.04,10.19,11335300,10.19
2016-10-24,10.15,10.17,10.07,10.10,6884200,10.10
2016-10-21,9.98,10.11,9.95,10.06,11869100,10.06
2016-10-20,10.01,10.17,9.99,10.14,8984700,10.14
2016-10-19,9.84,10.07,9.80,10.03,13416200,10.03
2016-10-18,9.75,9.81,9.65,9.80,7428200,9.80
2016-10-17,9.84,9.86,9.65,9.66,7854200,9.66
2016-10-14,9.83,9.94,9.77,9.82,7450300,9.82
2016-10-13,9.85,9.92,9.57,9.72,15157000,9.72
