Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,30.549999,30.68,30.040001,30.389999,4731200,30.389999
2016-12-12,29.91,30.360001,29.73,30.35,4211300,30.35
2016-12-09,30.190001,30.58,29.950001,30.040001,4321800,30.040001
2016-12-08,29.870001,30.440001,29.700001,30.110001,4603800,30.110001
2016-12-07,29.549999,30.190001,29.50,30.129999,3750900,30.129999
2016-12-06,29.280001,29.629999,29.190001,29.43,3349400,29.43
2016-12-05,29.15,29.26,28.82,29.23,3168500,29.23
2016-12-02,28.76,29.459999,28.76,29.08,2701800,29.08
2016-12-01,29.33,29.35,28.42,28.610001,4197400,28.610001
2016-11-30,29.33,29.67,29.01,29.530001,5478900,29.530001
2016-11-29,29.379999,29.90,29.33,29.60,4151500,29.60
2016-11-28,29.25,29.780001,29.200001,29.379999,4234900,29.379999
2016-11-25,29.59,29.65,29.129999,29.26,2109100,29.26
2016-11-23,29.16,29.57,28.92,29.51,4938300,29.51
2016-11-22,29.030001,29.43,28.549999,29.40,3856400,29.40
2016-11-21,29.02,29.33,28.60,28.67,3464300,28.67
2016-11-18,28.780001,28.940001,28.48,28.68,3023200,28.68
2016-11-17,29.209999,29.35,28.67,28.76,2667800,28.76
2016-11-16,29.34,29.610001,29.07,29.32,2243900,29.32
2016-11-15,29.51,29.959999,28.98,29.41,4393000,29.41
2016-11-14,27.98,29.51,27.85,29.40,5501500,29.40
2016-11-11,27.85,28.41,27.85,28.10,4516300,28.10
2016-11-10,28.66,28.790001,27.610001,27.940001,7930500,27.940001
2016-11-09,28.76,29.379999,27.889999,28.83,6475200,28.83
2016-11-08,29.82,29.84,29.280001,29.709999,4477000,29.709999
2016-11-07,29.940001,30.280001,29.66,30.26,5102100,29.89
2016-11-04,28.77,29.57,28.610001,29.52,7522400,29.159049
2016-11-03,29.23,29.23,28.379999,28.67,6363100,28.319442
2016-11-02,30.41,30.450001,29.219999,29.23,6656600,28.872594
2016-11-01,30.950001,32.32,30.25,30.469999,10682700,30.097432
2016-10-31,34.270003,34.450001,34.130001,34.250002,5827500,30.811671
2016-10-28,34.210002,34.460001,34.060002,34.140001,3650300,30.712713
2016-10-27,35.000002,35.000002,34.020001,34.080002,4387800,30.658737
2016-10-26,35.540003,35.62,34.870002,35.070001,4188900,31.549351
2016-10-25,36.13,36.150001,35.580003,35.590001,3507500,32.017149
2016-10-24,36.09,36.520003,35.800002,36.080002,3135700,32.457959
2016-10-21,36.380001,36.60,35.780002,35.850001,4724400,32.251047
2016-10-20,36.77,36.990003,36.570002,36.660001,2611200,32.979732
2016-10-19,36.71,37.35,36.60,36.850002,3194100,33.150659
2016-10-18,36.56,37.090001,36.380001,36.690004,2716100,33.006723
2016-10-17,36.26,36.630003,36.09,36.320001,2777800,32.673864
2016-10-14,36.470001,36.670003,36.13,36.24,1795200,32.601895
2016-10-13,35.930002,36.650003,35.760002,36.470001,3130600,32.808806
