Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,15.71,15.95,15.69,15.82,10689100,15.82
2016-12-12,15.41,15.84,15.41,15.83,12704700,15.83
2016-12-09,16.08,16.15,15.74,15.78,9865100,15.647
2016-12-08,16.139999,16.25,16.10,16.16,9581900,16.023797
2016-12-07,15.62,16.17,15.60,16.15,11679200,16.013881
2016-12-06,15.51,15.64,15.46,15.60,6886900,15.468517
2016-12-05,15.26,15.55,15.26,15.55,11538500,15.418939
2016-12-02,15.03,15.30,15.02,15.12,8377100,14.992563
2016-12-01,15.41,15.48,15.02,15.06,12821700,14.933069
2016-11-30,15.17,15.53,15.11,15.40,15933300,15.270202
2016-11-29,15.06,15.32,15.03,15.15,9762900,15.022309
2016-11-28,15.06,15.20,15.00,15.08,12791800,14.9529
2016-11-25,14.84,15.24,14.83,15.18,8875200,15.052057
2016-11-23,15.35,15.72,14.78,14.87,23408600,14.74467
2016-11-22,16.059999,16.190001,15.90,15.95,19634500,15.815567
2016-11-21,15.94,16.07,15.93,16.00,10618300,15.865146
2016-11-18,15.88,15.96,15.81,15.87,10878200,15.736241
2016-11-17,15.86,15.96,15.82,15.89,9623300,15.756073
2016-11-16,15.86,15.90,15.72,15.80,10164100,15.666832
2016-11-15,15.96,16.07,15.82,15.87,14279400,15.736241
2016-11-14,15.85,16.190001,15.80,16.10,14528200,15.964303
2016-11-11,15.40,15.83,15.36,15.82,10306800,15.686662
2016-11-10,15.62,15.90,15.44,15.49,16182000,15.359444
2016-11-09,15.07,15.71,14.99,15.57,16866900,15.43877
2016-11-08,15.03,15.32,14.87,15.28,11642100,15.151214
2016-11-07,14.90,15.15,14.89,15.05,9780800,14.923153
2016-11-04,14.50,14.93,14.43,14.71,11832500,14.586018
2016-11-03,14.67,14.88,14.51,14.54,10558900,14.417451
2016-11-02,14.28,14.83,14.28,14.65,22285000,14.526524
2016-11-01,14.51,14.56,14.12,14.35,25361500,14.229053
2016-10-31,14.13,14.49,14.03,14.49,16364200,14.367872
2016-10-28,13.94,14.19,13.94,14.09,15247800,13.971244
2016-10-27,13.96,14.10,13.87,13.99,14106500,13.872087
2016-10-26,13.85,14.07,13.84,13.91,17328500,13.792761
2016-10-25,13.97,13.99,13.86,13.90,11069900,13.782845
2016-10-24,13.86,13.97,13.83,13.97,9762500,13.852256
2016-10-21,14.01,14.04,13.77,13.80,14610100,13.683688
2016-10-20,14.08,14.17,13.98,14.10,6824000,13.98116
2016-10-19,14.18,14.27,14.04,14.12,9918200,14.000991
2016-10-18,14.19,14.42,14.09,14.21,12762800,14.090233
2016-10-17,14.50,14.56,14.01,14.03,22058000,13.911749
2016-10-14,14.63,15.00,14.48,14.48,23107500,14.357956
2016-10-13,15.20,15.25,14.94,15.15,14423600,15.022309
