Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,26.469999,26.629999,26.17,26.370001,2875100,26.370001
2016-12-12,25.98,26.389999,25.950001,26.360001,3054000,26.360001
2016-12-09,26.299999,26.559999,25.860001,25.98,3944900,25.98
2016-12-08,25.870001,26.440001,25.860001,26.34,3138100,26.34
2016-12-07,25.940001,26.24,25.85,26.209999,3939300,26.209999
2016-12-06,25.84,26.07,25.620001,25.879999,3755700,25.879999
2016-12-05,25.209999,25.73,25.139999,25.709999,5439700,25.709999
2016-12-02,25.280001,25.67,25.09,25.200001,3059300,25.200001
2016-12-01,25.459999,25.59,25.049999,25.15,3363900,25.15
2016-11-30,25.85,25.940001,25.459999,25.540001,5327000,25.540001
2016-11-29,26.00,26.370001,25.790001,26.040001,5859000,26.040001
2016-11-28,26.309999,26.620001,26.120001,26.25,3122000,26.25
2016-11-25,26.26,26.59,26.08,26.35,1557200,26.35
2016-11-23,25.889999,26.10,25.709999,26.07,2145400,26.07
2016-11-22,25.780001,26.190001,25.66,26.09,3270700,26.09
2016-11-21,25.790001,26.040001,25.629999,25.690001,2943600,25.690001
2016-11-18,25.620001,25.799999,25.450001,25.65,5494700,25.65
2016-11-17,26.09,26.290001,25.59,25.610001,3031400,25.610001
2016-11-16,25.969999,26.200001,25.85,26.120001,2350000,26.120001
2016-11-15,26.200001,26.51,25.860001,26.07,4456500,26.07
2016-11-14,25.58,26.299999,25.309999,26.16,3462200,26.16
2016-11-11,25.610001,26.07,25.48,25.57,3264500,25.57
2016-11-10,25.50,26.030001,24.90,25.66,5007700,25.66
2016-11-09,25.50,25.66,24.76,25.48,4561000,25.48
2016-11-08,25.440001,26.02,25.379999,26.00,3911600,26.00
2016-11-07,25.41,25.77,25.27,25.49,5642200,25.49
2016-11-04,25.02,25.190001,24.790001,25.08,10649500,25.08
2016-11-03,25.23,25.50,24.959999,25.00,10664900,25.00
2016-11-02,25.35,25.629999,25.209999,25.24,10669200,25.24
2016-11-01,26.50,26.540001,25.68,25.860001,3385600,25.860001
2016-10-31,26.450001,26.639999,26.299999,26.610001,3287800,26.610001
2016-10-28,26.459999,26.620001,25.969999,26.309999,5370200,26.309999
2016-10-27,27.26,27.26,26.370001,26.43,2755800,26.43
2016-10-26,27.52,27.52,27.00,27.26,2719100,27.26
2016-10-25,27.780001,27.860001,27.66,27.67,2526300,27.67
2016-10-24,28.190001,28.379999,27.780001,27.889999,2845300,27.889999
2016-10-21,27.860001,28.07,27.780001,28.00,1458000,28.00
2016-10-20,28.08,28.209999,27.780001,28.040001,1498200,28.040001
2016-10-19,28.01,28.10,27.82,28.049999,1335700,28.049999
2016-10-18,28.09,28.219999,27.99,28.00,1554400,28.00
2016-10-17,28.110001,28.35,27.93,27.93,2332600,27.93
2016-10-14,28.35,28.52,28.07,28.09,1789600,28.09
2016-10-13,28.01,28.50,27.99,28.35,2982400,28.35
