Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,56.509998,57.200001,56.299999,57.200001,2314500,57.200001
2016-12-12,56.25,56.59,55.98,56.23,2161200,56.23
2016-12-09,56.32,56.540001,56.16,56.240002,4011500,56.240002
2016-12-08,56.950001,57.00,56.150002,56.25,3918800,56.25
2016-12-07,56.16,56.82,56.02,56.810001,2847300,56.810001
2016-12-06,56.259998,56.349998,55.599998,56.07,1550100,56.07
2016-12-05,56.18,56.240002,55.799999,56.110001,2888700,56.110001
2016-12-02,55.310001,56.00,55.16,55.82,1860000,55.82
2016-12-01,55.299999,55.509998,54.73,55.189999,4252400,55.189999
2016-11-30,56.169998,56.509998,55.049999,55.07,4064300,55.07
2016-11-29,56.560001,56.91,56.139999,56.169998,1453300,56.169998
2016-11-28,56.740002,57.09,56.650002,56.77,1574300,56.77
2016-11-25,56.560001,57.029999,56.509998,56.790001,1118400,56.790001
2016-11-23,56.459999,56.77,56.16,56.57,2259600,56.57
2016-11-22,57.25,57.48,56.599998,56.619999,3457300,56.619999
2016-11-21,55.939999,57.139999,55.869999,56.959999,2668700,56.959999
2016-11-18,54.970001,55.799999,54.93,55.709999,2085000,55.709999
2016-11-17,55.029999,55.610001,54.73,54.959999,2087800,54.959999
2016-11-16,54.919998,55.09,54.509998,55.02,1725900,55.02
2016-11-15,54.290001,55.00,53.830002,54.880001,2868700,54.880001
2016-11-14,54.27,54.540001,53.939999,54.110001,3323200,54.110001
2016-11-11,53.82,54.040001,53.400002,53.599998,3090400,53.599998
2016-11-10,54.790001,55.02,53.759998,53.790001,3703400,53.790001
2016-11-09,53.009998,54.759998,52.779999,54.59,2942000,54.59
2016-11-08,52.110001,53.84,52.110001,53.639999,3278000,53.639999
2016-11-07,51.950001,52.110001,51.650002,51.93,4359700,51.93
2016-11-04,51.509998,52.16,51.360001,51.50,5093100,51.50
2016-11-03,53.049999,53.299999,51.169998,51.310001,7619500,51.310001
2016-11-02,54.07,54.330002,53.009998,53.049999,10747600,53.049999
2016-11-01,56.150002,56.150002,53.639999,54.259998,21088900,54.259998
2016-10-31,54.049999,57.00,54.049999,56.150002,44797800,56.150002
2016-10-28,52.93,54.50,52.93,54.049999,9648700,54.049999
2016-10-27,47.099998,53.200001,46.450001,51.869999,19577000,51.869999
2016-10-26,46.630001,47.060001,46.349998,46.919998,1838000,46.919998
2016-10-25,47.369999,47.459999,46.82,46.900002,1879100,46.900002
2016-10-24,47.369999,47.869999,47.34,47.369999,1896900,47.369999
2016-10-21,47.040001,47.490002,47.009998,47.139999,1875000,47.139999
2016-10-20,47.459999,47.560001,47.080002,47.52,2030100,47.52
2016-10-19,47.119999,47.66,46.810001,47.630001,2530000,47.630001
2016-10-18,46.66,47.279999,46.439999,47.07,2284100,47.07
2016-10-17,46.099998,46.580002,45.880001,46.09,3435200,46.09
2016-10-14,46.209999,46.66,45.950001,46.150002,3579400,46.150002
2016-10-13,44.48,45.310001,44.009998,45.09,2561800,45.09
