Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,179.570007,180.059998,176.770004,178.830002,2635500,178.830002
2016-12-12,178.25,179.809998,177.570007,179.639999,2287800,179.639999
2016-12-09,175.360001,178.869995,175.300003,178.490005,2650400,178.490005
2016-12-08,176.080002,176.350006,174.770004,175.880005,1783500,175.880005
2016-12-07,172.380005,176.059998,171.970001,176.050003,3138500,176.050003
2016-12-06,171.820007,172.029999,171.229996,171.800003,1439200,171.800003
2016-12-05,172.630005,172.949997,171.089996,171.619995,2176800,171.619995
2016-12-02,172.529999,173.690002,172.240005,172.429993,1869300,172.429993
2016-12-01,171.639999,172.740005,171.449997,172.630005,1755800,172.630005
2016-11-30,172.199997,173.190002,171.589996,171.740005,2527700,171.740005
2016-11-29,172.539993,173.289993,172.149994,172.770004,1473200,172.770004
2016-11-28,173.559998,173.770004,172.279999,172.50,1672500,172.50
2016-11-25,172.210007,173.990005,172.210007,173.490005,945800,173.490005
2016-11-23,172.080002,172.75,171.759995,172.25,1477900,172.25
2016-11-22,171.669998,172.080002,171.279999,171.910004,1553300,171.910004
2016-11-21,171.419998,171.979996,170.720001,171.520004,1993900,171.520004
2016-11-18,172.509995,173.279999,172.289993,172.960007,1711100,172.960007
2016-11-17,172.009995,173.25,172.009995,172.770004,1783700,172.770004
2016-11-16,173.130005,173.229996,171.570007,172.009995,2022600,172.009995
2016-11-15,173.160004,174.25,171.910004,174.240005,2177100,173.130002
2016-11-14,175.229996,175.509995,171.899994,172.910004,2607000,171.808473
2016-11-11,174.050003,175.130005,173.729996,175.080002,1868200,173.964647
2016-11-10,170.160004,174.669998,169.789993,174.279999,3280000,173.16974
2016-11-09,165.839996,171.00,165.839996,170.389999,3659300,169.304522
2016-11-08,169.899994,172.050003,169.779999,171.029999,1955700,169.940445
2016-11-07,168.149994,169.889999,167.979996,169.740005,1930900,168.658669
2016-11-04,167.210007,167.850006,166.419998,166.479996,1927500,165.419428
2016-11-03,166.139999,167.639999,165.259995,166.830002,2505000,165.767204
2016-11-02,164.699997,166.369995,163.910004,165.729996,2233400,164.674205
2016-11-01,165.399994,165.809998,163.850006,164.25,2455600,163.203638
2016-10-31,166.460007,166.539993,165.179993,165.300003,2289100,164.246952
2016-10-28,166.550003,167.179993,165.139999,165.770004,1934300,164.713959
2016-10-27,166.869995,166.949997,165.279999,165.759995,1486400,164.704013
2016-10-26,165.690002,167.789993,165.410004,166.509995,2174900,165.449235
2016-10-25,169.470001,169.889999,165.110001,166.229996,3826200,165.17102
2016-10-24,172.649994,173.440002,170.899994,171.270004,2668500,170.178921
2016-10-21,168.110001,169.559998,167.720001,169.50,2013200,168.420193
2016-10-20,169.570007,170.339996,168.990005,169.860001,1210500,168.7779
2016-10-19,170.800003,170.940002,169.660004,169.910004,1164200,168.827584
2016-10-18,171.679993,171.910004,169.839996,169.949997,1185600,168.867323
2016-10-17,170.539993,171.089996,169.940002,170.210007,1229200,169.125676
2016-10-14,170.990005,171.389999,170.300003,170.330002,1512400,169.244907
2016-10-13,168.869995,170.309998,168.460007,170.020004,1919700,168.936884
