Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,123.510002,125.089996,122.779999,123.779999,5523400,123.779999
2016-12-12,122.839996,124.029999,122.300003,122.830002,3906300,122.830002
2016-12-09,123.779999,124.300003,121.730003,122.879997,4694500,122.879997
2016-12-08,125.400002,126.349998,122.160004,123.239998,8982500,123.239998
2016-12-07,124.480003,125.75,123.25,125.389999,8170100,125.389999
2016-12-06,120.099998,124.790001,119.419998,124.57,11476600,124.57
2016-12-05,120.730003,120.75,118.400002,119.160004,7614400,119.160004
2016-12-02,116.75,120.980003,116.75,120.809998,8928900,120.809998
2016-12-01,117.519997,118.68,113.949997,117.220001,8636900,117.220001
2016-11-30,119.00,120.370003,116.389999,117.00,7715100,117.00
2016-11-29,117.300003,119.18,117.129997,117.510002,7082300,117.510002
2016-11-28,117.050003,117.620003,115.709999,116.93,5278900,116.93
2016-11-25,117.639999,118.389999,117.18,117.410004,1616300,117.410004
2016-11-23,117.760002,118.889999,117.309998,117.690002,4521300,117.690002
2016-11-22,118.32,119.459999,116.980003,118.040001,7007200,118.040001
2016-11-21,116.199997,118.720001,116.190002,117.959999,7064500,117.959999
2016-11-18,115.730003,116.419998,113.510002,115.209999,6746800,115.209999
2016-11-17,115.129997,116.809998,113.559998,115.029999,6232700,115.029999
2016-11-16,112.959999,116.120003,111.809998,115.190002,5933700,115.190002
2016-11-15,114.550003,116.410004,113.089996,113.589996,7445100,113.589996
2016-11-14,114.75,115.900002,110.68,113.379997,9932400,113.379997
2016-11-11,114.900002,116.629997,113.110001,114.779999,11070900,114.779999
2016-11-10,122.760002,122.970001,113.699997,115.419998,19712100,115.419998
2016-11-09,121.839996,123.650002,120.860001,122.190002,7705700,122.190002
2016-11-08,124.120003,125.809998,123.220001,124.339996,4690800,124.339996
2016-11-07,124.260002,125.75,123.370003,124.580002,5827100,124.580002
2016-11-04,122.00,123.43,121.620003,122.029999,5077700,122.029999
2016-11-03,122.309998,123.720001,121.839996,122.139999,5041300,122.139999
2016-11-02,122.830002,124.07,121.830002,122.339996,4816500,122.339996
2016-11-01,124.980003,125.830002,121.800003,123.300003,6978600,123.300003
2016-10-31,126.849998,126.900002,124.400002,124.870003,6517500,124.870003
2016-10-28,126.080002,128.929993,126.010002,126.57,7077300,126.57
2016-10-27,127.43,128.179993,125.93,126.470001,6914200,126.470001
2016-10-26,126.290001,128.720001,125.75,126.970001,8602400,126.970001
2016-10-25,126.519997,128.059998,125.75,126.510002,8253900,126.510002
2016-10-24,127.419998,129.289993,126.150002,127.330002,15980700,127.330002
2016-10-21,122.50,127.849998,122.309998,127.50,18832400,127.50
2016-10-20,121.970001,123.75,121.059998,123.349998,14492800,123.349998
2016-10-19,118.25,122.449997,118.00,121.870003,21981700,121.870003
2016-10-18,116.629997,119.82,116.50,118.790001,42168200,118.790001
2016-10-17,100.50,100.730003,98.379997,99.800003,26589500,99.800003
2016-10-14,101.589996,102.099998,100.349998,101.470001,9531100,101.470001
2016-10-13,98.010002,100.50,97.629997,100.230003,8319300,100.230003
