Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,12.05,12.15,11.78,11.88,2909800,11.88
2016-12-12,12.04,12.11,11.97,12.01,3456100,12.01
2016-12-09,11.93,12.13,11.91,12.05,3812100,12.05
2016-12-08,11.87,11.99,11.81,11.92,1954200,11.92
2016-12-07,11.80,11.94,11.58,11.83,3296500,11.83
2016-12-06,11.80,11.82,11.61,11.79,3701100,11.79
2016-12-05,11.72,11.83,11.64,11.81,2752300,11.81
2016-12-02,11.77,11.82,11.64,11.66,2739700,11.66
2016-12-01,11.59,11.80,11.54,11.76,3150500,11.76
2016-11-30,11.55,11.69,11.44,11.56,3443500,11.56
2016-11-29,11.83,11.87,11.45,11.54,3072800,11.54
2016-11-28,11.76,12.02,11.76,11.84,2677700,11.84
2016-11-25,11.83,11.97,11.78,11.80,755200,11.80
2016-11-23,11.63,11.82,11.63,11.80,1769800,11.80
2016-11-22,11.77,11.85,11.64,11.68,2661800,11.68
2016-11-21,12.01,12.01,11.73,11.73,2208800,11.73
2016-11-18,12.02,12.05,11.87,11.87,2350100,11.87
2016-11-17,12.06,12.19,11.92,12.00,3538000,12.00
2016-11-16,11.98,12.09,11.79,12.02,3858100,12.02
2016-11-15,12.20,12.25,12.00,12.01,3270000,12.01
2016-11-14,12.17,12.32,11.98,12.17,5278500,12.17
2016-11-11,11.87,12.18,11.81,12.12,2981200,12.12
2016-11-10,11.95,12.17,11.85,11.95,4314100,11.95
2016-11-09,11.46,12.15,11.32,11.98,4130000,11.98
2016-11-08,11.15,11.93,10.99,11.65,7399300,11.65
2016-11-07,12.07,12.32,11.96,12.22,5508800,12.22
2016-11-04,11.88,12.06,11.83,11.89,2320800,11.89
2016-11-03,11.92,11.97,11.78,11.83,1997000,11.83
2016-11-02,12.10,12.14,11.81,11.84,1941000,11.84
2016-11-01,12.22,12.28,11.85,12.05,3042000,12.05
2016-10-31,12.26,12.35,12.12,12.12,2533800,12.12
2016-10-28,12.16,12.41,12.12,12.17,2314500,12.17
2016-10-27,12.70,12.75,12.12,12.22,3474500,12.22
2016-10-26,12.63,12.97,12.62,12.91,2122100,12.91
2016-10-25,12.96,12.99,12.62,12.65,5417900,12.65
2016-10-24,13.53,13.53,12.96,12.97,3291900,12.97
2016-10-21,13.37,13.54,13.26,13.41,1444000,13.41
2016-10-20,13.59,13.69,13.41,13.51,2542300,13.51
2016-10-19,13.52,13.73,13.46,13.65,1376200,13.65
2016-10-18,13.54,13.63,13.36,13.51,2053300,13.51
2016-10-17,13.38,13.44,13.31,13.38,1338400,13.38
2016-10-14,13.62,13.65,13.34,13.37,1949800,13.37
2016-10-13,13.40,13.59,13.28,13.54,2464800,13.54
