Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,19.440001,19.59,19.25,19.450001,3650900,19.450001
2016-12-12,19.940001,19.98,19.35,19.41,4861400,19.41
2016-12-09,19.98,20.040001,19.67,19.93,7617400,19.93
2016-12-08,19.68,20.129999,19.57,20.00,4626500,20.00
2016-12-07,19.17,19.709999,19.139999,19.67,3736600,19.67
2016-12-06,19.00,19.200001,18.799999,19.18,3978600,19.18
2016-12-05,18.67,18.940001,18.639999,18.93,5871100,18.93
2016-12-02,18.73,18.809999,18.540001,18.60,4679100,18.60
2016-12-01,18.799999,19.00,18.74,18.93,3734000,18.93
2016-11-30,18.690001,18.83,18.639999,18.719999,3712000,18.719999
2016-11-29,18.43,18.60,18.34,18.49,2104100,18.49
2016-11-28,18.51,18.59,18.33,18.379999,3020700,18.379999
2016-11-25,18.52,18.59,18.49,18.57,1048800,18.57
2016-11-23,18.440001,18.60,18.370001,18.52,2756500,18.52
2016-11-22,18.51,18.60,18.290001,18.370001,3297200,18.370001
2016-11-21,18.32,18.43,18.24,18.41,2109400,18.41
2016-11-18,18.309999,18.34,18.190001,18.290001,3170800,18.290001
2016-11-17,18.08,18.35,18.00,18.26,5119300,18.26
2016-11-16,18.280001,18.360001,18.07,18.110001,7389700,18.110001
2016-11-15,18.389999,18.610001,18.15,18.549999,5693400,18.549999
2016-11-14,18.09,18.870001,18.09,18.58,6629200,18.58
2016-11-11,17.889999,18.35,17.82,18.280001,4768600,18.280001
2016-11-10,17.67,18.43,17.60,17.940001,8284400,17.940001
2016-11-09,16.85,17.59,16.51,17.49,5480300,17.49
2016-11-08,16.700001,16.73,16.49,16.65,2712000,16.65
2016-11-07,16.48,16.77,16.43,16.73,3558100,16.73
2016-11-04,16.219999,16.42,16.15,16.23,2592900,16.23
2016-11-03,16.24,16.309999,16.129999,16.23,2539400,16.23
2016-11-02,16.23,16.23,16.049999,16.15,2925800,16.15
2016-11-01,16.25,16.360001,16.040001,16.24,3694100,16.24
2016-10-31,16.25,16.35,16.129999,16.24,7133200,16.24
2016-10-28,16.27,16.33,16.059999,16.190001,3251400,16.190001
2016-10-27,16.34,16.559999,16.26,16.459999,5595100,16.289999
2016-10-26,16.23,16.379999,16.219999,16.24,2852900,16.072272
2016-10-25,16.280001,16.33,16.200001,16.280001,3045800,16.11186
2016-10-24,16.200001,16.299999,16.09,16.219999,2687400,16.052478
2016-10-21,16.07,16.110001,15.82,16.09,4245200,15.923822
2016-10-20,15.74,16.01,15.70,15.93,5414300,15.765474
2016-10-19,15.71,15.91,15.70,15.81,3172100,15.646714
2016-10-18,15.60,15.66,15.46,15.64,2732300,15.47847
2016-10-17,15.55,15.59,15.38,15.44,1987100,15.280534
2016-10-14,15.54,15.64,15.44,15.51,4527600,15.349812
2016-10-13,15.62,15.67,15.28,15.41,2855100,15.250845
