Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,59.779999,59.939999,59.080002,59.52,1140000,59.52
2016-12-12,60.290001,60.389999,58.98,59.439999,1366900,59.439999
2016-12-09,60.709999,60.709999,60.040001,60.299999,1543800,60.299999
2016-12-08,61.00,61.34,60.200001,60.860001,1585500,60.860001
2016-12-07,59.419998,60.689999,59.310001,60.689999,2046700,60.689999
2016-12-06,59.599998,59.869999,59.00,59.419998,2490400,59.419998
2016-12-05,58.48,59.48,57.790001,59.470001,2978000,59.470001
2016-12-02,58.130001,58.150002,57.389999,57.779999,1253700,57.779999
2016-12-01,57.75,58.50,57.689999,58.310001,1622400,58.310001
2016-11-30,57.880001,58.740002,57.560001,57.689999,2141800,57.259999
2016-11-29,57.290001,57.470001,56.860001,57.189999,1371400,56.763726
2016-11-28,57.709999,58.150002,57.00,57.060001,1247100,56.634698
2016-11-25,58.459999,58.52,58.02,58.330002,401500,57.895232
2016-11-23,57.880001,58.43,57.740002,58.41,1442400,57.974634
2016-11-22,58.119999,58.119999,57.27,57.68,1953200,57.250075
2016-11-21,57.849998,58.049999,57.369999,57.799999,1192000,57.36918
2016-11-18,57.849998,57.919998,57.07,57.66,1219600,57.230224
2016-11-17,57.650002,57.900002,57.27,57.790001,1638900,57.359256
2016-11-16,57.099998,57.630001,56.860001,57.119999,1226600,56.694248
2016-11-15,56.959999,57.740002,56.639999,57.709999,1783000,57.279851
2016-11-14,57.91,58.849998,57.119999,57.310001,2369900,56.882834
2016-11-11,57.400002,57.900002,56.279999,57.299999,2623800,56.872907
2016-11-10,56.860001,58.09,56.619999,57.880001,3308400,57.448586
2016-11-09,55.150002,56.200001,54.669998,56.099998,4813200,55.68185
2016-11-08,54.290001,54.689999,53.860001,54.490002,2561000,54.083854
2016-11-07,54.310001,54.509998,54.150002,54.32,2332500,53.915119
2016-11-04,53.380001,53.68,52.669998,53.130001,1806200,52.73399
2016-11-03,53.799999,53.919998,53.189999,53.330002,2120800,52.9325
2016-11-02,53.889999,54.259998,53.299999,53.459999,1731100,53.061529
2016-11-01,54.98,55.009998,53.59,54.150002,2418100,53.746388
2016-10-31,55.73,55.73,54.59,54.599998,2194100,54.193031
2016-10-28,53.560001,56.32,53.299999,55.27,3209900,54.858039
2016-10-27,53.259998,53.759998,52.849998,53.560001,1897400,53.160785
2016-10-26,52.57,53.169998,52.490002,53.009998,1624400,52.614882
2016-10-25,52.93,53.07,52.540001,52.959999,1626500,52.565255
2016-10-24,53.049999,53.200001,52.75,53.00,1006000,52.604958
2016-10-21,52.27,52.779999,52.080002,52.619999,1151700,52.227789
2016-10-20,52.669998,52.93,52.419998,52.799999,1319000,52.406448
2016-10-19,53.029999,53.029999,52.389999,52.75,1745300,52.356822
2016-10-18,53.00,53.00,52.41,52.630001,1498500,52.237717
2016-10-17,52.439999,52.66,52.18,52.259998,730800,51.870472
2016-10-14,52.540001,53.00,52.27,52.330002,959000,51.939954
2016-10-13,51.98,52.290001,51.25,52.009998,1983000,51.622336
