Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,33.98,34.25,33.860001,34.209999,3611000,34.209999
2016-12-12,33.43,34.060001,33.389999,33.939999,3808900,33.939999
2016-12-09,33.169998,33.549999,33.130001,33.509998,4871100,33.509998
2016-12-08,32.900002,33.23,32.709999,33.110001,4636800,33.110001
2016-12-07,32.799999,33.110001,32.689999,33.099998,4298400,33.099998
2016-12-06,33.299999,33.369999,32.939999,33.080002,4690100,32.700002
2016-12-05,33.169998,33.27,32.869999,33.25,5499000,32.868047
2016-12-02,33.32,33.57,33.07,33.34,3488700,32.957013
2016-12-01,33.279999,33.34,32.779999,33.099998,4619000,32.719769
2016-11-30,33.75,34.119999,33.459999,33.459999,6759900,33.075634
2016-11-29,34.080002,34.380001,34.029999,34.189999,4035500,33.797248
2016-11-28,33.41,34.310001,33.41,34.150002,4966600,33.75771
2016-11-25,32.889999,33.459999,32.889999,33.32,1783900,32.937243
2016-11-23,33.02,33.240002,32.700001,32.810001,3219200,32.433103
2016-11-22,33.240002,33.470001,33.07,33.32,3352100,32.937243
2016-11-21,32.98,33.360001,32.849998,33.34,4023900,32.957013
2016-11-18,32.889999,33.099998,32.669998,32.84,2901100,32.462757
2016-11-17,32.799999,33.07,32.759998,32.830002,2987600,32.452874
2016-11-16,33.34,33.43,32.669998,32.869999,3562000,32.492411
2016-11-15,33.00,33.259998,32.869999,33.240002,5239100,32.858164
2016-11-14,33.00,33.09,32.599998,32.860001,7600700,32.482528
2016-11-11,33.110001,33.560001,32.970001,33.150002,4951100,32.769197
2016-11-10,33.41,33.669998,32.459999,33.110001,6914600,32.729656
2016-11-09,34.049999,34.130001,33.450001,33.580002,5569600,33.194258
2016-11-08,34.610001,34.93,34.490002,34.740002,3378400,34.340933
2016-11-07,34.169998,34.549999,33.84,34.549999,4026800,34.153113
2016-11-04,34.27,34.450001,34.009998,34.02,3861500,33.629202
2016-11-03,33.91,34.439999,33.799999,34.099998,4768900,33.708281
2016-11-02,33.93,34.110001,33.52,33.91,4624500,33.520465
2016-11-01,34.98,34.98,33.869999,34.00,6690100,33.609432
2016-10-31,33.959999,34.560001,33.849998,34.34,5208600,33.945526
2016-10-28,33.700001,33.950001,33.630001,33.810001,3562300,33.421616
2016-10-27,33.669998,33.830002,33.540001,33.68,3847000,33.293108
2016-10-26,33.619999,33.91,33.43,33.84,2950500,33.45127
2016-10-25,33.43,33.740002,33.400002,33.700001,2796200,33.312879
2016-10-24,33.43,33.599998,33.23,33.529999,2485000,33.144829
2016-10-21,33.419998,33.580002,33.139999,33.32,3454500,32.937243
2016-10-20,33.419998,33.68,33.290001,33.580002,5049800,33.194258
2016-10-19,33.330002,33.529999,33.23,33.360001,3401800,32.976784
2016-10-18,33.279999,33.470001,33.02,33.41,3877400,33.026209
2016-10-17,32.950001,33.150002,32.860001,33.060001,3411400,32.680231
2016-10-14,32.959999,33.169998,32.799999,32.919998,5691600,32.541836
2016-10-13,32.459999,33.400002,32.369999,33.00,12995500,32.620919
