Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,80.660004,80.93,79.529999,80.059998,1647500,80.059998
2016-12-12,80.57,81.489998,79.879997,80.230003,1885400,80.230003
2016-12-09,81.190002,81.190002,80.040001,80.529999,1968500,80.529999
2016-12-08,80.720001,81.910004,80.00,81.440002,1313400,81.440002
2016-12-07,79.43,79.970001,79.150002,79.919998,2256000,79.919998
2016-12-06,79.830002,79.860001,78.739998,79.610001,2786100,79.610001
2016-12-05,78.980003,79.940002,78.75,79.160004,2507400,79.160004
2016-12-02,80.059998,80.110001,78.220001,78.440002,3130600,78.440002
2016-12-01,79.129997,80.989998,79.129997,80.389999,2791900,80.389999
2016-11-30,77.769997,78.959999,77.769997,78.800003,2275400,78.800003
2016-11-29,77.029999,77.400002,76.620003,77.010002,1414800,77.010002
2016-11-28,77.82,78.220001,76.790001,76.860001,1679500,76.860001
2016-11-25,78.169998,78.440002,77.849998,78.440002,518600,78.440002
2016-11-23,78.199997,78.93,77.540001,78.279999,1770800,78.279999
2016-11-22,78.790001,78.940002,77.610001,78.010002,1813600,78.010002
2016-11-21,78.93,79.00,78.360001,78.589996,1182500,78.589996
2016-11-18,78.400002,78.910004,77.669998,78.50,2590200,78.50
2016-11-17,77.730003,79.199997,77.589996,78.519997,2122200,78.519997
2016-11-16,76.580002,78.489998,76.580002,77.879997,2276400,77.879997
2016-11-15,78.040001,79.269997,77.699997,79.25,4613800,79.25
2016-11-14,77.379997,78.93,77.25,78.510002,3281700,78.510002
2016-11-11,76.25,76.660004,75.50,76.449997,2450900,76.449997
2016-11-10,76.550003,79.199997,76.239998,76.739998,4245500,76.739998
2016-11-09,72.910004,76.00,72.389999,75.540001,2704000,75.540001
2016-11-08,72.00,72.690002,71.349998,72.260002,1316800,72.260002
2016-11-07,71.959999,72.379997,71.809998,72.339996,1383500,72.339996
2016-11-04,70.349998,71.300003,69.730003,70.389999,1445800,70.389999
2016-11-03,69.93,70.870003,69.919998,70.349998,2188300,70.349998
2016-11-02,70.290001,70.339996,69.489998,69.980003,2551500,69.980003
2016-11-01,70.669998,71.160004,70.279999,70.669998,2140300,70.669998
2016-10-31,70.75,71.019997,70.190002,70.209999,1779900,70.209999
2016-10-28,70.980003,71.220001,69.769997,70.480003,1146300,70.480003
2016-10-27,70.900002,71.900002,70.379997,70.809998,2604400,70.809998
2016-10-26,71.720001,71.889999,68.68,70.190002,2568900,70.190002
2016-10-25,71.470001,71.739998,70.519997,70.889999,2416300,70.889999
2016-10-24,71.279999,71.949997,70.949997,71.43,1765600,71.43
2016-10-21,70.50,71.010002,70.220001,70.879997,1764300,70.879997
2016-10-20,70.480003,71.699997,70.480003,71.029999,2421600,71.029999
2016-10-19,70.07,71.019997,69.970001,70.529999,1492700,70.529999
2016-10-18,69.50,69.849998,69.169998,69.769997,1425400,69.769997
2016-10-17,69.019997,69.279999,68.540001,68.629997,1442700,68.629997
2016-10-14,69.699997,70.050003,68.919998,69.010002,2129700,69.010002
2016-10-13,69.919998,69.919998,68.160004,68.760002,1777600,68.760002
