Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,76.800003,77.629997,75.949997,76.879997,1700700,76.879997
2016-12-12,76.360001,77.080002,75.370003,76.260002,2302900,76.260002
2016-12-09,80.599998,81.040001,75.650002,76.93,4747300,76.93
2016-12-08,77.300003,79.739998,76.980003,79.519997,2696700,79.519997
2016-12-07,75.779999,77.660004,74.25,77.339996,2455100,77.339996
2016-12-06,75.330002,76.550003,74.82,76.169998,3297200,76.169998
2016-12-05,73.720001,74.980003,73.489998,74.82,2898000,74.82
2016-12-02,71.690002,73.440002,71.650002,73.339996,1924700,73.339996
2016-12-01,76.919998,77.07,71.650002,71.779999,4084000,71.779999
2016-11-30,77.489998,77.790001,76.440002,76.849998,1581500,76.849998
2016-11-29,77.089996,77.720001,76.279999,77.220001,1717000,77.220001
2016-11-28,77.059998,77.839996,75.82,77.300003,1803400,77.300003
2016-11-25,78.269997,78.309998,76.489998,77.010002,1174700,77.010002
2016-11-23,79.209999,79.510002,78.019997,78.309998,1585100,78.309998
2016-11-22,79.389999,80.139999,78.989998,79.360001,1218500,79.360001
2016-11-21,78.459999,79.129997,78.199997,78.93,1504600,78.93
2016-11-18,77.82,78.940002,76.919998,78.209999,2151200,78.209999
2016-11-17,76.150002,77.970001,75.690002,77.949997,1615300,77.949997
2016-11-16,75.360001,76.480003,75.00,76.120003,1630800,76.120003
2016-11-15,74.18,76.25,73.720001,75.93,2101100,75.93
2016-11-14,74.790001,74.82,73.589996,74.040001,2614900,73.760001
2016-11-11,76.00,77.889999,74.199997,74.510002,4015000,74.228225
2016-11-10,77.889999,79.489998,74.769997,75.910004,3267500,75.622932
2016-11-09,74.790001,78.239998,74.50,77.660004,3458000,77.366314
2016-11-08,76.860001,78.019997,76.010002,77.330002,2208800,77.03756
2016-11-07,76.669998,77.300003,75.300003,77.239998,2703100,76.947897
2016-11-04,72.599998,76.860001,72.50,75.07,5718600,74.786105
2016-11-03,74.650002,76.82,74.389999,74.669998,3566700,74.387616
2016-11-02,75.650002,76.370003,74.82,75.029999,1681800,74.746255
2016-11-01,76.919998,77.760002,74.760002,75.809998,1782700,75.523304
2016-10-31,75.949997,77.260002,75.019997,76.940002,1886400,76.649036
2016-10-28,77.910004,77.989998,75.620003,75.720001,2715600,75.433648
2016-10-27,78.18,78.580002,77.050003,77.260002,1460700,76.967825
2016-10-26,77.440002,78.690002,77.190002,77.540001,2190400,77.246765
2016-10-25,78.18,79.139999,77.910004,78.080002,1669600,77.784724
2016-10-24,78.010002,79.190002,78.010002,78.489998,1728000,78.193169
2016-10-21,77.75,78.089996,76.870003,77.470001,1900500,77.17703
2016-10-20,77.720001,78.50,77.050003,78.089996,1264700,77.794681
2016-10-19,77.190002,78.029999,76.769997,77.910004,1071900,77.615369
2016-10-18,78.099998,78.370003,77.529999,77.650002,1112200,77.35635
2016-10-17,77.629997,78.139999,76.480003,76.699997,1726900,76.409938
2016-10-14,77.860001,79.489998,77.440002,77.629997,2067900,77.336421
2016-10-13,77.980003,78.029999,76.199997,77.410004,2204700,77.117259
