Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,91.800003,92.57,91.43,92.190002,743000,92.190002
2016-12-12,91.089996,91.720001,91.059998,91.480003,567700,91.480003
2016-12-09,90.57,91.379997,90.449997,91.239998,526100,91.239998
2016-12-08,90.300003,90.730003,89.970001,90.540001,734400,90.540001
2016-12-07,89.32,90.540001,88.589996,90.220001,757000,90.220001
2016-12-06,90.50,90.699997,88.669998,89.779999,632000,89.779999
2016-12-05,90.400002,90.540001,89.709999,90.099998,1110100,90.099998
2016-12-02,89.269997,90.00,88.510002,89.779999,557500,89.779999
2016-12-01,89.949997,90.18,88.43,88.669998,719100,88.669998
2016-11-30,91.300003,91.360001,89.349998,89.830002,848700,89.830002
2016-11-29,91.089996,91.870003,91.089996,91.360001,520500,91.360001
2016-11-28,91.660004,92.129997,91.00,91.080002,629200,91.080002
2016-11-25,91.889999,92.449997,91.599998,92.139999,317100,92.139999
2016-11-23,89.760002,91.620003,89.50,91.620003,621000,91.620003
2016-11-22,89.330002,90.040001,88.589996,89.989998,637200,89.989998
2016-11-21,88.349998,89.830002,88.349998,89.660004,658000,89.660004
2016-11-18,89.279999,89.980003,87.989998,88.25,1659200,88.25
2016-11-17,88.730003,89.650002,88.730003,89.519997,579000,89.519997
2016-11-16,89.220001,89.599998,88.440002,88.620003,714900,88.620003
2016-11-15,88.110001,89.559998,88.029999,89.360001,608900,89.360001
2016-11-14,88.029999,88.800003,87.519997,87.839996,993100,87.839996
2016-11-11,88.580002,89.160004,87.849998,87.989998,666700,87.989998
2016-11-10,89.339996,89.989998,87.529999,88.849998,1091200,88.849998
2016-11-09,89.519997,90.00,85.760002,88.510002,1720800,88.510002
2016-11-08,91.029999,92.059998,90.199997,91.690002,626200,91.690002
2016-11-07,90.410004,91.120003,89.860001,91.07,623400,91.07
2016-11-04,89.68,90.269997,89.099998,89.139999,813000,89.139999
2016-11-03,89.839996,90.370003,89.370003,89.459999,534500,89.459999
2016-11-02,89.709999,90.43,89.160004,89.389999,708400,89.389999
2016-11-01,91.139999,91.239998,89.220001,89.699997,1147000,89.699997
2016-10-31,90.019997,91.580002,88.970001,90.730003,1183700,90.730003
2016-10-28,89.970001,91.089996,89.669998,90.089996,769600,90.089996
2016-10-27,88.330002,90.730003,87.779999,89.949997,2569200,89.949997
2016-10-26,94.779999,94.779999,93.389999,94.080002,1319600,94.080002
2016-10-25,97.470001,97.690002,95.339996,95.449997,753300,95.449997
2016-10-24,97.889999,98.190002,97.300003,97.57,690200,97.57
2016-10-21,99.43,99.43,96.769997,97.25,1572000,97.25
2016-10-20,96.870003,106.699997,96.629997,100.290001,8161500,100.290001
2016-10-19,96.379997,97.010002,96.139999,96.93,437400,96.93
2016-10-18,96.75,97.230003,96.160004,96.379997,624500,96.379997
2016-10-17,95.760002,95.93,95.239998,95.870003,510600,95.870003
2016-10-14,96.709999,96.790001,95.699997,95.760002,691300,95.760002
2016-10-13,96.510002,96.68,95.849998,96.279999,914600,96.279999
