Date,Open,High,Low,Close,Volume,Adj Close
2016-12-13,83.279999,83.949997,82.980003,83.57,1189200,83.57
2016-12-12,82.699997,83.129997,82.440002,83.029999,829300,83.029999
2016-12-09,83.349998,83.529999,82.879997,82.93,940800,82.93
2016-12-08,83.190002,83.519997,82.769997,83.190002,647600,83.190002
2016-12-07,83.040001,83.139999,82.18,83.139999,1239400,83.139999
2016-12-06,82.889999,83.150002,82.339996,83.040001,1168800,83.040001
2016-12-05,82.690002,83.279999,82.660004,82.910004,867100,82.910004
2016-12-02,82.419998,82.660004,81.650002,82.199997,890700,82.199997
2016-12-01,83.230003,83.519997,81.949997,82.360001,974300,82.360001
2016-11-30,84.190002,84.419998,83.029999,83.080002,1375200,83.080002
2016-11-29,84.199997,84.400002,83.620003,83.879997,759800,83.879997
2016-11-28,84.410004,84.849998,84.07,84.150002,760200,84.150002
2016-11-25,83.959999,84.300003,83.349998,84.110001,522700,84.110001
2016-11-23,83.790001,84.760002,82.50,83.889999,669600,83.889999
2016-11-22,84.00,84.010002,83.68,83.959999,845000,83.959999
2016-11-21,83.400002,83.910004,83.160004,83.75,787900,83.75
2016-11-18,82.830002,83.529999,82.82,83.160004,1904600,83.160004
2016-11-17,82.50,83.029999,82.440002,83.00,1276900,83.00
2016-11-16,82.68,83.059998,82.059998,82.300003,852500,82.300003
2016-11-15,83.010002,83.580002,82.50,82.690002,2155400,82.690002
2016-11-14,83.389999,83.599998,82.730003,82.830002,1262800,82.830002
2016-11-11,82.830002,83.709999,82.830002,83.129997,1231400,83.129997
2016-11-10,83.580002,84.290001,82.650002,83.120003,979400,83.120003
2016-11-09,80.879997,83.400002,80.879997,83.330002,933300,83.330002
2016-11-08,82.949997,83.230003,82.580002,82.889999,676400,82.889999
2016-11-07,82.860001,83.199997,82.480003,83.099998,1220700,83.099998
2016-11-04,81.830002,82.849998,81.730003,81.760002,779200,81.760002
2016-11-03,82.57,82.989998,82.080002,82.410004,1092300,82.410004
2016-11-02,81.400002,83.290001,81.120003,82.209999,1829000,82.209999
2016-11-01,81.68,81.68,80.669998,80.940002,1130900,80.940002
2016-10-31,81.68,82.099998,81.540001,81.550003,813000,81.550003
2016-10-28,81.43,82.190002,81.260002,81.349998,717700,81.349998
2016-10-27,81.580002,81.93,81.050003,81.25,1233000,81.25
2016-10-26,82.019997,82.589996,81.400002,81.43,1298800,81.43
2016-10-25,82.230003,82.279999,81.760002,82.089996,671000,82.089996
2016-10-24,81.82,82.43,81.760002,82.220001,826800,82.220001
2016-10-21,79.839996,81.279999,79.309998,81.260002,877900,81.260002
2016-10-20,80.50,80.919998,79.75,80.080002,650800,80.080002
2016-10-19,80.18,81.25,80.18,80.449997,739500,80.449997
2016-10-18,79.970001,81.489998,79.709999,80.339996,925600,80.339996
2016-10-17,79.419998,79.82,79.32,79.470001,385100,79.470001
2016-10-14,79.470001,80.139999,79.300003,79.370003,580200,79.370003
2016-10-13,79.050003,79.660004,78.599998,79.360001,560500,79.360001
